ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
PAWNEE_2,PAWNEE_2,pawn1254,Pawnee,paw,North America,41.0,-98.67,Caddoan,Cad.CADDOAN,"Caddoan,NorthernCaddoan,Kitsai-Proto-Pawnee,Proto-Pawnee","Caddoan,NorthernCaddoan,Pawnee-Kitsai,Pawnee-Arikara",False,False,,pwn,paw,Ann-Katrin Wett
PAY,PAY,mala1494,Mala (Papua New Guinea),ped,Papunesia,-4.38,145.25,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,Croisilles,Pihom,Kaukombaran","Nuclear_Trans_New_Guinea,Madang,Croisilles,Mugil-Kaukombaran,Kaukombaran",False,False,,,ped,Cecil H. Brown
PAYAGUA,PAYAGUA,,,qho,,-25.69,-57.85,,Pay.PAYAGUA,Guaykuruan,Payagua,True,False,1900,,qho,
PAYNAMAR,PAYNAMAR,payn1244,Manat,pmr,Papunesia,-4.9,144.88,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,SouthAdelbertRange,Wanang,Paynamar","Nuclear_Trans_New_Guinea,Madang,Kalamic-SouthAdelbert,SouthAdelbert,Sogeram,CentralSogeram",False,False,,,pmr,Cecil H. Brown
PAZEH,PAZEH,kulo1237,Kulon-Pazeh,uun,Papunesia,23.97,120.97,Austronesian,An.NORTHWEST_FORMOSAN,"Austronesian,NorthwestFormosan","Austronesian,NorthwestFormosan",False,False,,,uun,André Müller
PA_HNG,PA_HNG,pahn1237,Pa-Hng,pha,Eurasia,25.5,109.4,Hmong-Mien,HM.HMONG-MIEN,"Hmong-Mien,Hmongic,Pa-hng","Hmong-Mien,Hmongic,Paheng",False,False,,,pha,André Müller
PE,PE,peee1238,Pe,pai,Africa,9.33,9.67,Atlantic-Congo,NC.PLATOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Plateau,Tarokoid","Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-CongoPlateau,Tarokoid,Yangkam-Tarok-Pe,Tarok-Pe",False,False,,,pai,Viveka Velupillai
PEAR,PEAR,pear1247,Pear,pcb,Eurasia,13.58,105.0,Austroasiatic,AuA.PEARIC,"Austro-Asiatic,Mon-Khmer,EasternMon-Khmer,Pearic,Eastern","Austroasiatic,Pearic",False,False,,,pcb,Søren Wichmann
PEAR_B,PEAR_B,pear1247,Pear,pcb,Eurasia,13.58,105.0,Austroasiatic,AuA.PEARIC,"Austro-Asiatic,Mon-Khmer,EasternMon-Khmer,Pearic,Eastern","Austroasiatic,Pearic",False,False,,,pcb,Paul Sidwell and Søren Wichmann
PECH,PECH,pech1241,Pech,pay,North America,15.0,-85.5,Chibchan,Chi.PAYA,"Chibchan,ChibchanB",Chibchan,False,False,,pec,pay,Cecil H. Brown
PEERE,PEERE,peer1241,Peere,pfe,Africa,7.75,12.42,Atlantic-Congo,NC.ADAMAWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Kutin","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,SambaDuru,SouthernSambaDuru",False,False,,,pfe,Julia Bischoffberger
PEERE_2,PEERE_2,peer1241,Peere,pfe,Africa,7.75,12.4,Atlantic-Congo,NC.ADAMAWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Kutin","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Cameroun-Ubangian,CentralAdamawa,SambaDuru,SouthernSambaDuru",False,False,,,pfe,Guillaume Segerer and Søren Wichmann
PEI,PEI,peii1238,Pei,ppq,Papunesia,-4.42,142.25,Walioic,LS.LEONHARD_SCHULTZE,"Sepik,LeonhardSchultze","Walioic,Pai-Sinen-Walio",False,False,,,ppq,Matthew S. Dryer
PELA,PELA,pela1242,Pela,bxd,Eurasia,24.35,98.35,Sino-Tibetan,ST.BURMESE-LOLO,"Sino-Tibetan,Tibeto-Burman,Ngwi-Burmese,Burmish,Northern","Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Burmish,NorthernBurmish,MidNorthernBurmish",False,False,,,bxd,Julia Bischoffberger
PELAUW_HARUKU,PELAUW_HARUKU,haru1244,Haruku,hrk,Papunesia,-3.5,128.42,Austronesian,An.CENTRAL_MALAYO-POLYNESIAN,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,CentralMaluku,East,Seram,Nunusaku,PiruBay","Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,CentralMalayo-Polynesian,CentralMaluku,EastCentralMaluku,Nunusaku,PiruBay,EastPiruBay,Solehua,SeramStraits,Uliase,Hatuhaha",False,False,,,hrk,Ann-Katrin Wett
PELE_ATA,PELE_ATA,pele1245,Pele-Ata,ata,Papunesia,-5.67,151.0,Pele-Ata,Was.WASI,"Yele-WestNewBritain,WestNewBritain",Ata,False,False,,,ata,Julia Bischoffberger
